name,value
D,650
DaiwaD,654
DaiwaH,72
DaiwaW,2124
DoorD,22
Door_Tenka,10.5
Door_Tenka_inside,7.5
Door_shelf,24
Frame_inner,9
Frame_outer,12
H,2253
PanelD,665
PanelD_B,665
PanelD_C,665
PanelD_D,665
PanelH,2097
PanelH_B,2193
PanelH_C,2193
PanelH_D,2097
PanelW,18
PanelW_inner,7
PanelW_outer,11
TenkaD,666
TenkaD_B,636
TenkaD_C,636
TenkaD_D,636
TenkaH,18
TenkaW,684
TenkaW_B,684
TenkaW_C,684
TenkaW_D,684
UraD,8
UraH,2070
UraH_B,2166
UraH_C,2166
UraH_D,2070
UraW,693
UraW_B,675
UraW_C,675
UraW_D,675
W,2124
d_B,650
d_C,650
d_D,650
flag,"[True, True, True]"
gap_back,8
gap_dowel,32
gap_dowel_back,53
gap_dowel_front,36
h_B,2253
h_C,2253
h_D,2157
left_and_right,"['B', 'D']"
num,3
order_from_left,"['B', 'C', 'D']"
shelfH,18
tall_Panel_flag,1
tyobanW,45
w_B,684
w_C,684
w_D,684
x_front,600
x_side,5000
y_front,800
y_side,800
